Ambient light color: Red=1 Green=1 Blue=1

Named object: "ARAK-AFT-L"
Tri-mesh, Vertices: 866     Faces: 1728
Vertex list:
Vertex 0:  X:-1.10261	Y:1.80099	Z:0.0408326
Vertex 5:  X:-1.34108	Y:-1.98743	Z:0.0504653
Vertex 6:  X:-1.32285	Y:-1.94552	Z:0.11514
Vertex 7:  X:-1.32011	Y:-1.95879	Z:0.121681
Vertex 8:  X:-1.33247	Y:-1.96627	Z:0.12792
Vertex 9:  X:-1.38634	Y:-2.00554	Z:0.0214984
Vertex 10:  X:-1.37524	Y:-2.01804	Z:0.0102816
Vertex 11:  X:-1.36855	Y:-1.99817	Z:0.0567356
Vertex 12:  X:-1.38697	Y:-1.98807	Z:0.0553908
Vertex 13:  X:-1.3559	Y:-1.96136	Z:0.129611
Vertex 14:  X:-1.37654	Y:-1.94937	Z:0.127034
Vertex 15:  X:-1.38285	Y:-1.99553	Z:0.0185621
Vertex 16:  X:-1.39087	Y:-2.00536	Z:0.00853445
Vertex 17:  X:-1.39089	Y:-1.97745	Z:0.0523885
Vertex 18:  X:-1.38157	Y:-1.97191	Z:0.049652
Vertex 19:  X:-1.38051	Y:-1.93563	Z:0.120468
Vertex 20:  X:-1.36938	Y:-1.92768	Z:0.114205
Vertex 21:  X:-1.37072	Y:-2.0064	Z:0.00750627
Vertex 22:  X:-1.36029	Y:-1.97703	Z:0.0491049
Vertex 23:  X:-1.34471	Y:-1.93306	Z:0.112538
Vertex 24:  X:-1.29719	Y:-1.90459	Z:0.208809
Vertex 25:  X:-1.31134	Y:-1.91343	Z:0.221228
Vertex 26:  X:-1.29985	Y:-1.88931	Z:0.196052
Vertex 27:  X:-1.27344	Y:-1.82273	Z:0.284615
Vertex 28:  X:-1.27151	Y:-1.84162	Z:0.302243
Vertex 29:  X:-1.28787	Y:-1.8535	Z:0.319504
Vertex 30:  X:-1.33743	Y:-1.90818	Z:0.224938
Vertex 31:  X:-1.3602	Y:-1.8947	Z:0.220246
Vertex 32:  X:-1.31658	Y:-1.84854	Z:0.32479
Vertex 33:  X:-1.34104	Y:-1.83311	Z:0.318435
Vertex 34:  X:-1.36437	Y:-1.87884	Z:0.207459
Vertex 35:  X:-1.35175	Y:-1.86942	Z:0.19501
Vertex 36:  X:-1.34465	Y:-1.81358	Z:0.300774
Vertex 37:  X:-1.32998	Y:-1.80105	Z:0.283479
Vertex 38:  X:-1.32413	Y:-1.87525	Z:0.19133
Vertex 39:  X:-1.29959	Y:-1.80665	Z:0.278227
Vertex 40:  X:-1.24534	Y:-1.77634	Z:0.389393
Vertex 41:  X:-1.26524	Y:-1.79551	Z:0.406152
Vertex 42:  X:-1.24499	Y:-1.74968	Z:0.37224
Vertex 43:  X:-1.21706	Y:-1.67704	Z:0.451104
Vertex 44:  X:-1.22046	Y:-1.71312	Z:0.467861
Vertex 45:  X:-1.24437	Y:-1.74134	Z:0.484205
Vertex 46:  X:-1.29678	Y:-1.79235	Z:0.411239
Vertex 47:  X:-1.32214	Y:-1.7737	Z:0.405009
Vertex 48:  X:-1.27854	Y:-1.7407	Z:0.489127
Vertex 49:  X:-1.30419	Y:-1.71841	Z:0.483003
Vertex 50:  X:-1.32353	Y:-1.74637	Z:0.387822
Vertex 51:  X:-1.30538	Y:-1.72653	Z:0.371027
Vertex 52:  X:-1.30253	Y:-1.68166	Z:0.466212
Vertex 53:  X:-1.28036	Y:-1.65277	Z:0.449832
Vertex 54:  X:-1.2721	Y:-1.73035	Z:0.365976
Vertex 55:  X:-1.24445	Y:-1.65408	Z:0.444946
Vertex 56:  X:-1.19862	Y:-1.65631	Z:0.53525
Vertex 57:  X:-1.22618	Y:-1.69284	Z:0.556691
Vertex 58:  X:-1.1922	Y:-1.61169	Z:0.513384
Vertex 59:  X:-1.16987	Y:-1.55222	Z:0.579252
Vertex 60:  X:-1.17824	Y:-1.60264	Z:0.604482
Vertex 61:  X:-1.20828	Y:-1.64476	Z:0.629278
Vertex 62:  X:-1.26238	Y:-1.69465	Z:0.563295
Vertex 63:  X:-1.28784	Y:-1.6692	Z:0.555452
Vertex 64:  X:-1.24604	Y:-1.64816	Z:0.636985
Vertex 65:  X:-1.27156	Y:-1.6205	Z:0.628006
Vertex 66:  X:-1.28316	Y:-1.62391	Z:0.533551
Vertex 67:  X:-1.25734	Y:-1.58671	Z:0.512075
Vertex 68:  X:-1.26486	Y:-1.56944	Z:0.602742
Vertex 69:  X:-1.23651	Y:-1.52667	Z:0.577913
Vertex 70:  X:-1.2194	Y:-1.58556	Z:0.505506
Vertex 71:  X:-1.19707	Y:-1.52392	Z:0.570239
Vertex 72:  X:-1.37583	Y:-2.02043	Z:-0.00578153
Vertex 73:  X:-1.13273	Y:-1.4528	Z:0.752941
Vertex 74:  X:-1.14952	Y:-1.49724	Z:0.668881
Vertex 75:  X:-1.17756	Y:-1.46824	Z:0.66173
Vertex 76:  X:-1.16243	Y:-1.42423	Z:0.747852
Vertex 77:  X:-1.21803	Y:-1.47098	Z:0.667505
Vertex 78:  X:-1.20375	Y:-1.42557	Z:0.751514
Vertex 79:  X:-1.24708	Y:-1.51459	Z:0.686685
Vertex 80:  X:-1.23217	Y:-1.46622	Z:0.764421
Vertex 81:  X:-1.2538	Y:-1.56676	Z:0.706314
Vertex 82:  X:-1.23734	Y:-1.51578	Z:0.777793
Vertex 83:  X:-1.22726	Y:-1.59518	Z:0.713435
Vertex 84:  X:-1.20898	Y:-1.54384	Z:0.782856
Vertex 85:  X:-1.1883	Y:-1.59186	Z:0.70763
Vertex 86:  X:-1.16897	Y:-1.54199	Z:0.779167
Vertex 87:  X:-1.15774	Y:-1.54883	Z:0.68848
Vertex 88:  X:-1.13924	Y:-1.50185	Z:0.766287
Vertex 89:  X:-1.10944	Y:-1.39443	Z:0.837467
Vertex 90:  X:-1.12107	Y:-1.42495	Z:0.802103
Vertex 91:  X:-1.15319	Y:-1.39759	Z:0.796484
Vertex 92:  X:-1.14272	Y:-1.36888	Z:0.828677
Vertex 93:  X:-1.19554	Y:-1.3964	Z:0.800607
Vertex 94:  X:-1.18484	Y:-1.36553	Z:0.835953
Vertex 95:  X:-1.22246	Y:-1.43123	Z:0.814989
Vertex 96:  X:-1.20979	Y:-1.39433	Z:0.859816
Vertex 97:  X:-1.22498	Y:-1.47541	Z:0.829861
Vertex 98:  X:-1.21004	Y:-1.43261	Z:0.884175
Vertex 99:  X:-1.19411	Y:-1.50229	Z:0.835455
Vertex 100:  X:-1.17805	Y:-1.45767	Z:0.89294
Vertex 101:  X:-1.15301	Y:-1.503	Z:0.831307
Vertex 102:  X:-1.13722	Y:-1.46053	Z:0.885639
Vertex 103:  X:-1.12483	Y:-1.46865	Z:0.81695
Vertex 104:  X:-1.11097	Y:-1.43221	Z:0.861801
Vertex 105:  X:-1.07574	Y:-1.2915	Z:0.910763
Vertex 106:  X:-1.09274	Y:-1.34196	Z:0.880134
Vertex 107:  X:-1.12389	Y:-1.31868	Z:0.865486
Vertex 108:  X:-1.10516	Y:-1.26913	Z:0.889654
Vertex 109:  X:-1.1631	Y:-1.31499	Z:0.87872
Vertex 110:  X:-1.14271	Y:-1.26583	Z:0.909417
Vertex 111:  X:-1.18597	Y:-1.34027	Z:0.920328
Vertex 112:  X:-1.16489	Y:-1.29063	Z:0.970525
Vertex 113:  X:-1.18587	Y:-1.37435	Z:0.962397
Vertex 114:  X:-1.16535	Y:-1.32376	Z:1.03207
Vertex 115:  X:-1.15618	Y:-1.39708	Z:0.977016
Vertex 116:  X:-1.1377	Y:-1.34546	Z:1.05314
Vertex 117:  X:-1.11841	Y:-1.40021	Z:0.963752
Vertex 118:  X:-1.10192	Y:-1.34807	Z:1.03334
Vertex 119:  X:-1.09409	Y:-1.37549	Z:0.922174
Vertex 120:  X:-1.07797	Y:-1.32395	Z:0.972271
Vertex 121:  X:-1.0468	Y:-1.23822	Z:0.88852
Vertex 122:  X:-1.0632	Y:-1.267	Z:0.910015
Vertex 123:  X:-1.09501	Y:-1.24237	Z:0.883926
Vertex 124:  X:-1.08259	Y:-1.2105	Z:0.857987
Vertex 125:  X:-1.13602	Y:-1.23909	Z:0.908552
Vertex 126:  X:-1.12879	Y:-1.2068	Z:0.886873
Vertex 127:  X:-1.16044	Y:-1.26704	Z:0.984408
Vertex 128:  X:-1.15619	Y:-1.23831	Z:0.975762
Vertex 129:  X:-1.16134	Y:-1.304	Z:1.06074
Vertex 130:  X:-1.1572	Y:-1.27994	Z:1.06518
Vertex 131:  X:-1.13181	Y:-1.32775	Z:1.08678
Vertex 132:  X:-1.1242	Y:-1.30659	Z:1.09566
Vertex 133:  X:-1.09308	Y:-1.33017	Z:1.06211
Vertex 134:  X:-1.08081	Y:-1.30922	Z:1.06672
Vertex 135:  X:-1.06638	Y:-1.30309	Z:0.986297
Vertex 136:  X:-1.05061	Y:-1.27878	Z:0.977883
Vertex 137:  X:-0.98533	Y:-1.09978	Z:0.821439
Vertex 138:  X:-1.01826	Y:-1.17492	Z:0.856909
Vertex 139:  X:-1.05709	Y:-1.14558	Z:0.82152
Vertex 140:  X:-1.02711	Y:-1.06939	Z:0.783052
Vertex 141:  X:-1.10679	Y:-1.14099	Z:0.85513
Vertex 142:  X:-1.07981	Y:-1.06357	Z:0.819541
Vertex 143:  X:-1.13574	Y:-1.17327	Z:0.958373
Vertex 144:  X:-1.10972	Y:-1.09523	Z:0.931583
Vertex 145:  X:-1.13623	Y:-1.21646	Z:1.06219
Vertex 146:  X:-1.10925	Y:-1.13854	Z:1.04424
Vertex 147:  X:-1.10058	Y:-1.24458	Z:1.09751
Vertex 148:  X:-1.07079	Y:-1.16765	Z:1.08256
Vertex 149:  X:-1.05406	Y:-1.24796	Z:1.06384
Vertex 150:  X:-1.02142	Y:-1.1722	Z:1.046
Vertex 151:  X:-1.02193	Y:-1.21689	Z:0.96066
Vertex 152:  X:-0.988181	Y:-1.14182	Z:0.934025
Vertex 153:  X:-0.923214	Y:-0.964443	Z:0.747743
Vertex 154:  X:-0.955783	Y:-1.03548	Z:0.788368
Vertex 155:  X:-1.00129	Y:-1.00371	Z:0.751108
Vertex 156:  X:-0.973155	Y:-0.932265	Z:0.714052
Vertex 157:  X:-1.05764	Y:-0.996437	Z:0.786322
Vertex 158:  X:-1.03295	Y:-0.922377	Z:0.745538
Vertex 159:  X:-1.08878	Y:-1.02748	Z:0.894734
Vertex 160:  X:-1.06433	Y:-0.949451	Z:0.84297
Vertex 161:  X:-1.08703	Y:-1.07114	Z:1.00381
Vertex 162:  X:-1.05997	Y:-0.990222	Z:0.94112
Vertex 163:  X:-1.04468	Y:-1.10171	Z:1.041
Vertex 164:  X:-1.01257	Y:-1.02143	Z:0.97476
Vertex 165:  X:-0.99148	Y:-1.10777	Z:1.00573
Vertex 166:  X:-0.955318	Y:-1.03034	Z:0.943223
Vertex 167:  X:-0.957181	Y:-1.07793	Z:0.897378
Vertex 168:  X:-0.9214	Y:-1.00424	Z:0.845842
Vertex 169:  X:-0.830866	Y:-0.752101	Z:0.620933
Vertex 170:  X:-0.881216	Y:-0.869093	Z:0.68961
Vertex 171:  X:-0.936244	Y:-0.838794	Z:0.660248
Vertex 172:  X:-0.891113	Y:-0.724452	Z:0.595584
Vertex 173:  X:-0.998411	Y:-0.824168	Z:0.687256
Vertex 174:  X:-0.955248	Y:-0.70442	Z:0.618434
Vertex 175:  X:-1.02774	Y:-0.840538	Z:0.771435
Vertex 176:  X:-0.981677	Y:-0.707949	Z:0.690319
Vertex 177:  X:-1.01847	Y:-0.871708	Z:0.856391
Vertex 178:  X:-0.966711	Y:-0.727346	Z:0.763035
Vertex 179:  X:-0.964805	Y:-0.901484	Z:0.885725
Vertex 180:  X:-0.906665	Y:-0.754918	Z:0.78838
Vertex 181:  X:-0.904002	Y:-0.915587	Z:0.85869
Vertex 182:  X:-0.84273	Y:-0.774873	Z:0.765526
Vertex 183:  X:-0.873304	Y:-0.89974	Z:0.774538
Vertex 184:  X:-0.816101	Y:-0.771421	Z:0.693645
Vertex 185:  X:-0.721367	Y:-0.492848	Z:0.491849
Vertex 186:  X:-0.773238	Y:-0.616135	Z:0.548674
Vertex 187:  X:-0.838324	Y:-0.590394	Z:0.525946
Vertex 188:  X:-0.790268	Y:-0.467841	Z:0.472319
Vertex 189:  X:-0.904689	Y:-0.565745	Z:0.546033
Vertex 190:  X:-0.858864	Y:-0.44014	Z:0.489087
Vertex 191:  X:-0.928767	Y:-0.558888	Z:0.609809
Vertex 192:  X:-0.881678	Y:-0.427179	Z:0.543066
Vertex 193:  X:-0.908902	Y:-0.568877	Z:0.674468
Vertex 194:  X:-0.858483	Y:-0.431855	Z:0.59797
Vertex 195:  X:-0.843439	Y:-0.594762	Z:0.697203
Vertex 196:  X:-0.789054	Y:-0.457065	Z:0.617511
Vertex 197:  X:-0.776698	Y:-0.619556	Z:0.677124
Vertex 198:  X:-0.719927	Y:-0.484969	Z:0.600754
Vertex 199:  X:-0.752997	Y:-0.626268	Z:0.61334
Vertex 200:  X:-0.697643	Y:-0.497727	Z:0.546764
Vertex 201:  X:-0.693893	Y:-0.374999	Z:0.470379
Vertex 202:  X:-0.688289	Y:-0.413891	Z:0.469476
Vertex 203:  X:-0.759333	Y:-0.388016	Z:0.455687
Vertex 204:  X:-0.742583	Y:-0.343967	Z:0.462408
Vertex 205:  X:-0.829902	Y:-0.359605	Z:0.466631
Vertex 206:  X:-0.799781	Y:-0.334408	Z:0.468251
Vertex 207:  X:-0.853074	Y:-0.346645	Z:0.50325
Vertex 208:  X:-0.814394	Y:-0.314697	Z:0.483971
Vertex 209:  X:-0.8289	Y:-0.351835	Z:0.540821
Vertex 210:  X:-0.799388	Y:-0.330594	Z:0.510685
Vertex 211:  X:-0.757433	Y:-0.377872	Z:0.554618
Vertex 212:  X:-0.742224	Y:-0.34062	Z:0.508426
Vertex 213:  X:-0.68644	Y:-0.406446	Z:0.543683
Vertex 214:  X:-0.693123	Y:-0.371329	Z:0.51282
Vertex 215:  X:-0.663692	Y:-0.419243	Z:0.507055
Vertex 216:  X:-0.670413	Y:-0.36989	Z:0.486863
Vertex 217:  X:-0.737077	Y:-0.328743	Z:0.478839
Face list:
Face 0: A:1 B:2 C:3 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 1: A:1 B:3 C:0 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 2: A:5 B:2 C:1 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 3: A:5 B:1 C:4 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 4: A:7 B:2 C:5 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 5: A:7 B:5 C:6 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 6: A:3 B:2 C:7 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 7: A:3 B:7 C:8 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 8: A:10 B:11 C:12 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 9: A:10 B:12 C:9 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 10: A:3 B:11 C:10 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 11: A:3 B:10 C:0 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 12: A:13 B:11 C:3 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 13: A:13 B:3 C:8 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 14: A:12 B:11 C:13 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 15: A:12 B:13 C:14 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 16: A:16 B:17 C:18 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 17: A:16 B:18 C:15 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 18: A:12 B:17 C:16 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 19: A:12 B:16 C:9 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 20: A:19 B:17 C:12 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 21: A:19 B:12 C:14 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 22: A:18 B:17 C:19 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 23: A:18 B:19 C:20 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 24: A:21 B:22 C:5 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 25: A:21 B:5 C:4 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 26: A:18 B:22 C:21 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 27: A:18 B:21 C:15 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 28: A:23 B:22 C:18 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 29: A:23 B:18 C:20 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 30: A:5 B:22 C:23 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 31: A:5 B:23 C:6 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 32: A:7 B:24 C:25 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 33: A:7 B:25 C:8 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 34: A:26 B:24 C:7 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 35: A:26 B:7 C:6 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 36: A:28 B:24 C:26 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 37: A:28 B:26 C:27 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 38: A:25 B:24 C:28 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 39: A:25 B:28 C:29 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 40: A:13 B:30 C:31 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 41: A:13 B:31 C:14 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 42: A:25 B:30 C:13 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 43: A:25 B:13 C:8 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 44: A:32 B:30 C:25 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 45: A:32 B:25 C:29 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 46: A:31 B:30 C:32 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 47: A:31 B:32 C:33 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 48: A:19 B:34 C:35 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 49: A:19 B:35 C:20 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 50: A:31 B:34 C:19 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 51: A:31 B:19 C:14 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 52: A:36 B:34 C:31 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 53: A:36 B:31 C:33 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 54: A:35 B:34 C:36 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 55: A:35 B:36 C:37 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 56: A:23 B:38 C:26 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 57: A:23 B:26 C:6 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 58: A:35 B:38 C:23 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 59: A:35 B:23 C:20 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 60: A:39 B:38 C:35 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 61: A:39 B:35 C:37 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 62: A:26 B:38 C:39 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 63: A:26 B:39 C:27 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 64: A:28 B:40 C:41 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 65: A:28 B:41 C:29 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 66: A:42 B:40 C:28 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 67: A:42 B:28 C:27 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 68: A:44 B:40 C:42 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 69: A:44 B:42 C:43 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 70: A:41 B:40 C:44 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 71: A:41 B:44 C:45 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 72: A:32 B:46 C:47 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 73: A:32 B:47 C:33 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 74: A:41 B:46 C:32 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 75: A:41 B:32 C:29 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 76: A:48 B:46 C:41 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 77: A:48 B:41 C:45 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 78: A:47 B:46 C:48 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 79: A:47 B:48 C:49 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 80: A:36 B:50 C:51 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 81: A:36 B:51 C:37 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 82: A:47 B:50 C:36 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 83: A:47 B:36 C:33 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 84: A:52 B:50 C:47 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 85: A:52 B:47 C:49 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 86: A:51 B:50 C:52 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 87: A:51 B:52 C:53 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 88: A:39 B:54 C:42 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 89: A:39 B:42 C:27 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 90: A:51 B:54 C:39 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 91: A:51 B:39 C:37 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 92: A:55 B:54 C:51 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 93: A:55 B:51 C:53 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 94: A:42 B:54 C:55 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 95: A:42 B:55 C:43 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 96: A:44 B:56 C:57 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 97: A:44 B:57 C:45 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 98: A:58 B:56 C:44 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 99: A:58 B:44 C:43 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 100: A:60 B:56 C:58 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 101: A:60 B:58 C:59 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 102: A:57 B:56 C:60 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 103: A:57 B:60 C:61 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 104: A:48 B:62 C:63 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 105: A:48 B:63 C:49 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 106: A:57 B:62 C:48 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 107: A:57 B:48 C:45 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 108: A:64 B:62 C:57 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 109: A:64 B:57 C:61 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 110: A:63 B:62 C:64 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 111: A:63 B:64 C:65 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 112: A:52 B:66 C:67 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 113: A:52 B:67 C:53 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 114: A:63 B:66 C:52 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 115: A:63 B:52 C:49 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 116: A:68 B:66 C:63 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 117: A:68 B:63 C:65 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 118: A:67 B:66 C:68 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 119: A:67 B:68 C:69 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 120: A:55 B:70 C:58 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 121: A:55 B:58 C:43 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 122: A:67 B:70 C:55 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 123: A:67 B:55 C:53 AB:1 BC:1 CA:1
Material:"r255g128b0a0"
Smoothing:  1
Face 124: A:71 B:70 C:67 AB:1 BC:1 CA:1
